,nl,code
115,define the method regex with an argument self.,def regex ( self ) :
116,return settings.TEMPLATE_STRING_IF_INVALID.,return settings . TEMPLATE_STRING_IF_INVALID
117,"call the method tag.groups, substitute the result for closing_tag, tagname and self_closing, respectively.","closing_tag , tagname , self_closing = tag . groups ( )"
118,return settings.LANGUAGE_CODE.,return settings . LANGUAGE_CODE
119,from django.template.base import TemplateDoesNotExist into default name space.,from django . template . base import TemplateDoesNotExist
120,"get the value under the key key of the self.find_template_cache dictionary, substitute it for result.",result = self . find_template_cache [ key ]
121,"result of the function force_text with an argument option_label, return the result. define the method render_options with 3 arguments: self, choices and selected_choices.","def render_options ( self , choices , selected_choices ) :"
122,derive the class Command from the BaseCommand base class.,class Command ( BaseCommand ) :
123,"for every f in opts.local_fields that has an 'post_create_sql' attribute, append f to a list, substitute the resulting list for post_sql_fields.","post_sql_fields = [ f for f in opts . local_fields if hasattr ( f , 'post_create_sql' ) ]"
124,substitute self.max_value for the value under the 'max' key of the attrs dictionary.,attrs [ 'max' ] = self . max_value
125,"convert filename to lowercase, use the result as an argument for the call to the function os.path.splitext,","base , tail_ext = os . path . splitext ( filename . lower ( ) )"
126,define the method empty_variable with 2 arguments: self and token.,"def empty_variable ( self , token ) :"
127,raise an TypeError exception with an argument string 'Level not an integer or a valid string: %r' formated with level.,raise TypeError ( 'Level not an integer or a ' 'valid string: %r' % level )
128,"get the value under the self key of the context.render_context dictionary, substitute it for cycle_iter.",cycle_iter = context . render_context [ self ]
129,flush the output buffer of the self.stdout object.,self . stdout . flush ( )
130,derive the class SerializationError from the Exception base class.,class SerializationError ( Exception ) :
131,"call the BaseCache initialization method __init__ with 3 arguments self, list of arguments args and dictionary of arguments kwargs.","BaseCache . __init__ ( self , * args , ** kwargs )"
132,"define the method render with 4 arguments: self, name, value and attrs set to None.","def render ( self , name , value , attrs = None ) :"
133,"assign it to value under the string "".moves.urllib_robotparser"" appended to __name__ key of the sys.modules dictionary, and to value under the string "".moves.urllib.robotparser"" appended to __name__ key of the sys.modules dictionary. derive class Module_six_moves_urllib from the types.ModuleType base class.",class Module_six_moves_urllib ( types . ModuleType ) :
134,"substitute '%s' in string '%s %s' with the elements of value converted into a tuple, substitute the result for value.",value = '%s %s' % tuple ( value )
135,delete Trans.,del Trans
136,"and integer 60, substitute the result for timezone. divide timezone by integer 60, substitute the quotient of the division for hour and reminder for minute.","hour , minute = divmod ( timezone , 60 )"
137,"call the method value.encode with an argument self._charset, use the result as an argument for the call to the bytes function,",return bytes ( value . encode ( self . _charset ) )
138,"break from the loop execution,",break
139,"convert tagname to lowercase, substitute it for tagname.",tagname = tagname . lower ( )
140,"if self.is_bound is false,",if not self . is_bound :
141,"if not,",else :
142,"call the get_script_name function with environ as argument, substitute the result for script_name.",script_name = get_script_name ( environ )
143,"if domain equals a string 'djangojs' and file_ext is contained in command.extensions,",if domain == 'djangojs' and file_ext in command . extensions :
144,return value.,return value
145,"with an argument i, append the result to a list, substitute the resulting list for forms. return forms.",return forms
146,use the global variable _serializers.,global _serializers
147,substitute ending for self.ending.,self . ending = ending
148,"get value under the BLOCK_CONTEXT_KEY key of context.render_context dictionary, substitute it for block_context.",block_context = context . render_context . get ( BLOCK_CONTEXT_KEY )
149,derive the class VariableDoesNotExist form the base class Exception.,class VariableDoesNotExist ( Exception ) :
150,"if fp is an instance of file and data is an instance of unicode and fp.encoding is not None,","if ( isinstance ( fp , file ) and isinstance ( data , unicode ) and fp . encoding is not None ) :"
151,call the function _load_serializers.,_load_serializers ( )
152,define the method changed_data with an argument self.,def changed_data ( self ) :
153,"and ip_address_validator_map converted to a list, respectively. call the re.compile function with an argument raw string '^[\d,]+$', substitute the result for comma_separated_int_list_re.","comma_separated_int_list_re = re . compile ( '^[\d,]+$' )"
154,define the method __init__ with arguments: self and options set to None.,"def __init__ ( self , options = None ) :"
155,"if elt is an instance of NonCapture class,","if isinstance ( elt , NonCapture ) :"
156,append decimals to parts.,parts . append ( decimals )
157,"call the serializer function, call the dumps method on the result with an argument obj, substitute result for data.",data = serializer ( ) . dumps ( obj )
158,"evaluate the method self._cache.decr with key and negative delta as arguments, return the result.","return self . _cache . decr ( key , - delta )"
159,"substitute nodelist_true and nodelist_false for self.nodelist_true and self.nodelist_false, respectively.","self . nodelist_true , self . nodelist_false = nodelist_true , nodelist_false"
160,"for every label in labels,",for label in labels :
161,derive class InvalidCacheBackendError from the ImproperlyConfigured base class.,class InvalidCacheBackendError ( ImproperlyConfigured ) :
162,"if result is not None,",if result is not None :
163,"define the method __init__ with 6 arguments: self, name, old_mod, new_mod, old_attr set to None, new_attr set to None.","def __init__ ( self , name , old_mod , new_mod , old_attr = None , new_attr = None ) :"
164,status_code is an integer 405.,status_code = 405
165,self.second is None.,self . second = None
166,call the method f.save_form_data with 2 arguments: instance and value under the f.name key of cleaned_data dictionary.,"f . save_form_data ( instance , cleaned_data [ f . name ] )"
167,"get the 'value' attribute of the _urlconfs, if it exists return it, otherwise return defaults.","return getattr ( _urlconfs , ""value"" , default )"
168,"raise an exception of class NotImplementedError, with string 'subclasses of BaseCache must provide a get() method' as argument.",raise NotImplementedError ( 'subclasses of BaseCache must provide a get() method' )
169,substitute tempfile.gettempdir for gettempdir.,gettempdir = tempfile . gettempdir
170,define the method __init__ with 2 arguments: self and attrs set to None.,"def __init__ ( self , attrs = None ) :"
171,"paths is a list containing results of the function force_text called with an argument p, for every p in paths.",paths = [ force_text ( p ) for p in paths ]
172,from unittest import import everything.,from unittest import *
173,read chunk_size bytes from file and store it in data.,data = file . read ( chunk_size )
174,"for every dirpath, dirnames and locale_filenames in directory tree starting at the basedir directory.","for dirpath , dirnames , locale_filenames in os . walk ( basedir ) :"
175,"for every obj in result of the method self.queryset.all. for every choice in self.field.choice_cache,",for choice in self . field . choice_cache :
176,"if ValueError, TypeError or ValidationError exception is caught,","except ( ValueError , TypeError , ValidationError ) :"
177,"_meth_self is a string ""__self__"".","_meth_self = ""__self__"""
178,"append it to the string "" Target specific migration: "", use it as the argument for the call to the self.style.MIGRATE_LABEL method, call the self.stdout.write method with previous return value as an argument. if run_syncdb and executor.loader.unmigrated_apps is true,",if run_syncdb and executor . loader . unmigrated_apps :
179,raise an exception.,raise
180,define the method __getitem__ with 2 arguments: self and idx.,"def __getitem__ ( self , idx ) :"
181,self.cookies is an instance of SimpleCookie class created with self.cookies as an argument.,self . cookies = SimpleCookie ( self . cookies )
182,"define the method __init__ with 4 arguments: self, form, field and name.","def __init__ ( self , form , field , name ) :"
183,"call the method match.groupdict, substitute the result for kw.",kw = match . groupdict ( )
184,define the method __bool__ with an argument self.,def __bool__ ( self ) :
185,"if InvalidTemplateLibrary, renamed to e, exception is caught,",except InvalidTemplateLibrary as e :
186,define the function F with an argument i.,def F ( i ) :
187,"if 'media' is not contained in attrs,",if 'media' not in attrs :
188,"if LookupError exception is caught,",except LookupError :
189,"if initial is None,",if initial is None :
190,"from django.utils import iri_to_uri, force_bytes, force_text to the default name space.","from django . utils . encoding import iri_to_uri , force_bytes , force_text"
191,derive the class StreamingBuffer from the object base class.,class StreamingBuffer ( object ) :
192,"call the method e.encode with an argument string ""latin-1"".","return s . encode ( ""latin-1"" )"
193,"return boolean False,",return False
194,"for every code in tuple with 2 elements: lang_code and generic_lang_code,","for code in ( lang_code , generic_lang_code ) :"
195,"try,",try :
196,if language_code is not containsed in self._app_dict,if language_code not in self . _app_dict :
197,"subtract length of the ext from the integer 255, take first elements of the name list up to the previous result index,",name = name [ : 255 - len ( ext ) ] + ext
198,matches is boolean False.,matches = False
199,substitute value under idx key of dictionary d for d.,d = d [ idx ]
200,"call the function date with 2 arguments: result of the call to the function datetime.now with an argument tz set to tzinfo,","return date ( datetime . now ( tz = tzinfo ) , self . format_string )"
201,"if data is None,",if data is None :
202,match is None.,match = None
203,ModelFormMetaclass and BaseModelForm. do nothing.,pass
204,call the function handle_m2m with an argument relobj.,handle_m2m ( relobj )
205,"if i is smaller than result of the method self.initial_form_count and key 'instance' is not contained in kwargs,",if i < self . initial_form_count ( ) and 'instance' not in kwargs :
206,derive the class EscapeData from object base class.,class EscapeData ( object ) :
207,"get the value under the 'exclude' key of the options dictionary, substitute it for exclude.",exclude = options . get ( 'exclude' )
208,define the method data with an argument self.,def data ( self ) :
209,from IPython.frontend.terminal.ipapp import TerminalIPythonApp into default namespace.,from IPython . frontend . terminal . ipapp import TerminalIPythonApp
210,"request_repr is a string ""unavailable"".","request_repr = ""unavailable"""
211,return integer 1.,return 1
212,"value under the 'feed_url' key of the self.feed dictionary for 'href'. if value under the 'language' key of the self.feed dictionary is not None,",if self . feed [ 'language' ] is not None :
213,from threading import local into default name space.,from threading import local
214,"call the method token.split_contents, substitute the result for bits.",bits = token . split_contents ( )
215,from django.conf import settings into default name space.,from django . conf import settings
216,"call the function force_text with an argument s, strip the result of whitespaces from both ends,","s = force_text ( s ) . strip ( ) . replace ( ' ' , '_' )"
217,define the method indent with argument self and level.,"def indent ( self , level ) :"
218,"if root is true,",if root :
219,"raise a ValueError exception with an argument string ""JSON can't represent timezone-aware times."".","raise ValueError ( ""JSON can't represent timezone-aware times."" )"
220,yield key and value under the key key of self dictionary.,"yield key , self [ key ]"
221,"if type of result is ConvertingDict, ConvertingList or ConvertingTuple,","if type ( result ) in ( ConvertingDict , ConvertingList , ConvertingTuple ) :"
222,"initialize the object of a InMemoryUploadedFile class with arguments: file set to self.file, field_name set to self.field_name,","return InMemoryUploadedFile ( file = self . file , field_name = self . field_name , name = self . file_name , content_type = self . content_type , size = file_size , charset = self . charset , content_type_extra = self . content_type_extra )"
223,"call the function timedelta with an argument seconds set to negative _time.timezone, substitute the result for self.STDOFFSET.",self . STDOFFSET = timedelta ( seconds = - _time . timezone )
224,from django.conf import settings into default name space.,from django . conf import settings
225,"substitute format for self.format if format is true, if not self.format is None.",self . format = format if format else None
226,"call the file.__exit__ method on self with exc, value and tb as the arguments.","self . file . __exit__ ( exc , value , tb )"
227,substitute form.instance for obj.,obj = form . instance
228,"if can_fail is true,",if can_fail :
229,"call the function exec_ with an argument string """"""def reraise(tp, value, tb=None): raise tp, value, tb"""""".","exec_ ( """"""def reraise(tp, value, tb=None): raise tp, value, tb """""" )"
230,"define the function salted_hmac with 3 arguments: key_salt, value and secret set to None.","def salted_hmac ( key_salt , value , secret = None ) :"
231,"convert name to lower case if it equals to string 'from' or 'to,","if name . lower ( ) in ( 'from' , 'to' ) :"
232,"if ret equals to integer 0, return boolean True, otherwise return boolean False.",return ( ret == 0 )
233,"if first element of data_list is contained in self.empty_values,",if data_list [ 0 ] in self . empty_values :
234,substitute self.__class__ for response._handler_class.,response . _handler_class = self . __class__
235,call the method self.end_object with an argument obj.,self . end_object ( obj )
236,"substitute the '%s' with table and list containing key, respectively. return default.",return default
237,"if self.forms is true,",if self . forms :
238,from django.utils.safestring import mark_safe into default name space.,from django . utils . safestring import mark_safe
239,define the method upload_handlers with arguments: self and upload_handlers.,"def upload_handlers ( self , upload_handlers ) :"
240,"if AttributeError exception is caught,",except AttributeError :
241,substitute state for self.state.,self . state = state
242,"divide hits by a floating point number self.per_page, convert its ceiling value to an integer and substitute it for self._num_pages.",self . _num_pages = int ( ceil ( hits / float ( self . per_page ) ) )
243,from django.conf import settings into default name space.,from django . conf import settings
244,"define the method __init__ with arguments self, unpacked list args and unpacked dictionary kwargs.","def __init__ ( self , * args , ** kwargs ) :"
245,"try,",try :
246,"define method set_cdata_mode, with self class instance and tag as the arguments.","def set_cdata_mode ( self , tag ) :"
247,"if instance is None,",if instance is None :
248,return boolean False.,return False
249,append tuple with 2 elements: migration.app_label and migration.name to replaces.,"replaces . append ( ( migration . app_label , migration . name ) )"
250,"if response has an attribute 'render' and response.render is a callable object,","if hasattr ( response , 'render' ) and callable ( response . render ) :"
251,"write string ""Performing system checks...\n\n"" to self.stdout stream.","self . stdout . write ( ""Performing system checks...\n\n"" )"
252,define the function extract with 2 arguments path and to_path set to empty string.,"def extract ( path , to_path = '' ) :"
253,"call the method self.build_attrs with an argument attrs, substitute the result for final_attrs.",final_attrs = self . build_attrs ( attrs )
254,"define the function construct_instance with 4 arguments: form, instance, fields set to None and exclude set to None.","def construct_instance ( form , instance , fields = None , exclude = None ) :"
255,"call the function run with 5 arguments: self.addr, self.port converted to an integer, handler, ipv6 set to self.use_ipv6, and threading set to threading.","run ( self . addr , int ( self . port ) , handler , ipv6 = self . use_ipv6 , threading = threading )"
256,"if self._done is true,",if self . _done :
257,dklen is None.,dklen = None
258,"if values has an attribute '__len__',","if not hasattr ( values , '__len__' ) :"
259,import module errno.,import errno
260,locales is a difference between the locales and exclude sets.,locales = set ( locales ) - set ( exclude )
261,"call the method self.fetch_command with an argument command, call the method run_from_argv on the result with an argument self.argv.",self . fetch_command ( subcommand ) . run_from_argv ( self . argv )
262,import module re.,import re
263,call the self.setup_environ method.,self . setup_environ ( )
264,"try,",try :
265,"for every locale in locales,",for locale in locales :
266,"try,",try :
267,"if key exists, substitute it for self.key, if not substitute settings.SECRET_KEY for key.",self . key = key or settings . SECRET_KEY
268,"if length of app_labels is greater than integer 1 and primary_keys is true,",if len ( app_labels ) > 1 and primary_keys :
269,"if PY3 is true,",if PY3 :
270,"return a dictionary with an entry: self.ns for ""xmlns"".","return { ""xmlns"" : self . ns }"
271,"if day_of_year is smaller than or equalt to jan1_weekday subtracted from integer 8 and jan1_weekday is greater than integer 4,",if day_of_year <= ( 8 - jan1_weekday ) and jan1_weekday > 4 :
272,"if self.message_context is true,",if self . message_context :
273,"if close is True,",if close :
274,"define the function dec with an argument func,",def dec ( func ) :
275,return data.,return data
276,substitute _urllib_robotparser_moved_attributes for Module_six_moves_urllib_robotparser._moved_attributes.,Module_six_moves_urllib_robotparser . _moved_attributes = _urllib_robotparser_moved_attributes
277,"call the method clear from the base class of the class QueryDict, return the result.","super ( QueryDict , self ) . clear ( )"
278,"call the function to_python with an argument pk, substitute the result for pk.",pk = to_python ( pk )
279,from itertools import chain into default name space.,from itertools import chain
280,"if field is not equal to NON_FIELD_ERRORS and field is not contained in self.fields,",if field != NON_FIELD_ERRORS and field not in self . fields :
281,define the method remove_potfiles with an argument self.,def remove_potfiles ( self ) :
282,"if the key doesnt exists substitute self.use_natural_keys for self.use_natural_foreign_keys. remove the 'use_natural_primary_keys' key from the options dictionary and substitute it for self.use_natural_primary_keys,","self . use_natural_primary_keys = options . pop ( 'use_natural_primary_keys' , False )"
283,define the method exit_command with an argument self.,def exit_command ( self ) :
284,"if max_num is None,",if max_num is None :
285,return settings.LANGUAGE_CODE.,return settings . LANGUAGE_CODE
286,"define the function literals with 3 arguments: choices, prefix set to an empty string and suffix set to an empty string.","def literals ( choices , prefix = """" , suffix = """" ) :"
287,"if self.merge and conflicts are both true,",if self . merge and conflicts :
288,"define the method __init__ with 3 arguments: self, unpacked list args and unpacked dictionary kwargs.","def __init__ ( self , * args , ** kwargs ) :"
289,if attr is an instance of MovedModule.,"if isinstance ( attr , MovedModule ) :"
290,"evaluates to true, call the function select_template with an argument file_name, substitute the result for t.",t = select_template ( file_name )
291,"default string value, substitute it for value. return value if six.PY2 is true, if not return value.encode(ISO_8859_1).decode(UTF_8).",return value if six . PY2 else value . encode ( ISO_8859_1 ) . decode ( UTF_8 )
292,"if ch is not equal to a sring '?' or escaped is true,",if ch != '?' or escaped :
293,return errors.,return errors
294,"otherwise if domains equals a string django' and, file_ext equals '.py' or file_ext is contained in command.extensions,",elif domain == 'django' and ( file_ext == '.py' or file_ext in command . extensions ) :
295,"call the method self.build_attrs with 2 arguments: attrs and name set to name, substitute the result for final_attrs.","final_attrs = self . build_attrs ( attrs , name = name )"
296,"crate a dictionary with app mapping and from the class Migration, created with arguments: string 'custom' and app,","changes = dict ( ( app , [ Migration ( ""custom"" , app ) ] ) for app in app_labels )"
297,"and self.regex.flags equals to other.regex.flags and self.message equals to other.message and self.code equals to other.code, and self.inverse_match equals to other.inverse_match, return the result. define the method __ne__ with arguments self and other.","def __ne__ ( self , other ) :"
298,"CheckboxInput, Select, NullBooleanSelect, SelectMultiple, DateInput, DateTimeInput, TimeInput, SplitDateTimeWidget, SplitHiddenDateTimeWidget and FILE_INPUT_CONTRADICTION. from django.utils import formats into default name space.",from django . utils import formats
299,substitute whitelist for self.domain_whitelist.,self . domain_whitelist = whitelist
300,"call the method result.setlist with 2 arguments: return value of the function copy.deepcopy called with 2 arguments: key and memo,","result . setlist ( copy . deepcopy ( key , memo ) , copy . deepcopy ( value , memo ) )"
301,"if not,",else :
302,_empty_value is an empty list.,_empty_value = [ ]
303,return output.,return output
304,"and absolute value of p, substitute the result for exp. try,",try :
305,"if stream_or_string is an instance of bytes,","if isinstance ( stream_or_string , bytes ) :"
306,call the self.clear method.,self . clear ( )
307,"substitute the result for args and kwargs. return an instance of AssignmentNode class created with 4 arguments: takes_context, args, kwargs and target_var.","return AssignmentNode ( takes_context , args , kwargs , target_var )"
308,"return _translations dictionary value, under the language key.",return _translations [ language ]
309,"if not,",else :
310,"for every form in self call the form.as_ul method, join the results in a string, separated by an empty string.",forms = ' ' . join ( form . as_ul ( ) for form in self )
311,"call the as_bytes method on the return value of the message.message method append to it '\n' character, use it as the argument for the call to the self.stream.write method.",self . stream . write ( message . message ( ) . as_bytes ( ) + b'\n' )
312,substitute value under the key key of self dictionary for val.,val = self [ key ]
313,"if not,",else :
314,from django.utils.functional import allow_lazy into default name space.,from django . utils . functional import allow_lazy
315,"raise an TemplateSyntaxError exception with an argument string ""Second (optional) argument to %s tag must be 'parsed'"",","raise TemplateSyntaxError ( ""Second (optional) argument to %s tag"" "" must be 'parsed'"" % bits [ 0 ] )"
